image_name,number of sutures,mean inter suture spacing,variance of inter suture spacing,mean suture angle wrt x-axis,variance of suture angle wrt x-axis
img1.png,9,0.09589035867730314,0.0002478559333076075,0.9020263537590425,11.259885128774663
img10.png,14,0.06913651428654836,0.0002811413790791781,-4.747948144331063,13.91401995978203
img2.png,5,0.09136354239419399,0.001084083670299146,0.6177663687445716,7.960548269663607
img3.png,9,0.10390593458289714,0.00025869888203248776,0.008291448032927128,2.970951621268827
img4.png,10,0.08316843142690494,0.00029558917448203556,2.91420273275874,10.186361388293022
img5.png,10,0.08910327069806243,0.0003095442099521141,-1.5798551355783317,17.21175180175306
img6.png,12,0.07187024421936164,0.00032303176037158795,2.341459507707475,9.588912326054656
img7.png,8,0.09643564753654436,0.0010778116727742965,-0.5373895962893638,4.671684348646581
img8.png,16,0.05552240365058514,0.0002529348948506425,-1.1528372174425439,1.0752205139797133
img9.png,16,0.05559327827825917,0.00018285679803113972,-1.1595056182997077,3.9702159005405804
